Year,y,yhat1,trend,season_yearly,residual1
1970,637976080854.0,637500650000.0,23972582000000.0,-23335082000000.0,475427286.0
1971,724266897066.0,936610760000.0,24152184000000.0,-23215573000000.0,-212343861590.0
1972,873936884776.0,1243537200000.0,24331782000000.0,-23088245000000.0,-369600326616.0
1973,1134325814453.0,1024319000000.0,24471038000000.0,-23446720000000.0,110006785205.0
1974,1285878283181.0,1208820400000.0,24543945000000.0,-23335126000000.0,77057850285.0
1975,1493975444589.0,1401250300000.0,24616853000000.0,-23215603000000.0,92725193837.0
1976,1558770195965.0,1686325200000.0,24774598000000.0,-23088272000000.0,-127554970115.0
1977,1771505277323.0,1512494600000.0,24959231000000.0,-23446738000000.0,259010681227.0
1978,2170271189743.0,1809810600000.0,25144972000000.0,-23335161000000.0,360460602095.0
1979,2628241801137.0,2124583100000.0,25340180000000.0,-23215596000000.0,503658659761.0
1980,2942175001616.0,2447085400000.0,25535384000000.0,-23088297000000.0,495089597456.0
1981,2558130327484.0,2267342200000.0,25714095000000.0,-23446753000000.0,290788151228.0
1982,2475971086143.0,2541890000000.0,25877069000000.0,-23335178000000.0,-65918957761.0
1983,2415660875601.0,2824279200000.0,26040043000000.0,-23215762000000.0,-408618287279.0
1984,2317446505445.0,3237529300000.0,26325836000000.0,-23088308000000.0,-920082750491.0
1985,2381001972113.0,3177976400000.0,26624844000000.0,-23446868000000.0,-796974458479.0
1986,3343588519150.0,3603245800000.0,26938492000000.0,-23335245000000.0,-259657306898.0
1987,4133772642688.0,4074451800000.0,27289790000000.0,-23215336000000.0,59320879488.0
1988,4544178702811.0,4552792700000.0,27641084000000.0,-23088290000000.0,-8614032933.0
1989,4647983485688.0,4641614000000.0,28088453000000.0,-23446837000000.0,6369547000.0
1990,5906235183267.0,5246057700000.0,28580885000000.0,-23334828000000.0,660177473699.0
1991,6134002565558.0,5844280300000.0,29059778000000.0,-23215498000000.0,289722286518.0
1992,6747284436682.0,6212609000000.0,29300961000000.0,-23088352000000.0,534675584714.0
1993,6166917841620.0,6095625500000.0,29542809000000.0,-23447183000000.0,71292322516.0
1994,6519941169144.0,6370655500000.0,29705930000000.0,-23335272000000.0,149285699576.0
1995,7518720993811.0,6552570000000.0,29768339000000.0,-23215768000000.0,966151219731.0
1996,7612904730323.0,6742117700000.0,29830748000000.0,-23088628000000.0,870787018451.0
1997,6949616127344.0,6684731000000.0,30131513000000.0,-23446780000000.0,264884882800.0
1998,7148883205588.0,7149830000000.0,30484594000000.0,-23334763000000.0,-946545196.0
1999,7109560644733.0,7622226300000.0,30837679000000.0,-23215452000000.0,-512665701251.0
2000,6471217709592.0,8102441600000.0,31190760000000.0,-23088316000000.0,-1631223938536.0
2001,6591061072511.0,8098161000000.0,31544809000000.0,-23446648000000.0,-1507099764097.0
2002,7161908436845.0,8562481000000.0,31897892000000.0,-23335410000000.0,-1400572338323.0
2003,8841164251181.0,9035251000000.0,32250974000000.0,-23215722000000.0,-194086936531.0
2004,10147694477632.0,9516290000000.0,32604055000000.0,-23087764000000.0,631404855616.0
2005,10529478871284.0,9511008000000.0,32958107000000.0,-23447099000000.0,1018470926580.0
2006,11180121523970.0,9975334000000.0,33311190000000.0,-23335853000000.0,1204787349250.0
2007,12872139993418.0,10447934000000.0,33664270000000.0,-23216337000000.0,2424206324042.0
2008,14126881442427.0,10929112000000.0,34017353000000.0,-23088240000000.0,3197769878139.0
2009,12912400424054.0,10924241000000.0,34371405000000.0,-23447162000000.0,1988159495286.0
2010,12647259733068.0,11389916000000.0,34724486000000.0,-23334570000000.0,1257344105548.0
2011,13637263953285.0,11862525000000.0,35077568000000.0,-23215043000000.0,1774739393925.0
2012,12656624498248.0,12342560000000.0,35430650000000.0,-23088090000000.0,314064991816.0
2013,13214627769312.0,12337857000000.0,35784700000000.0,-23446845000000.0,876771126240.0
2014,13510792508047.0,12802544000000.0,36137784000000.0,-23335239000000.0,708248924815.0
2015,11705356741420.0,13274748000000.0,36490864000000.0,-23216116000000.0,-1569391023316.0
2016,11991516461779.0,13756732000000.0,36843945000000.0,-23087215000000.0,-1765215552813.0
2017,12701546701485.0,13750904000000.0,37197995000000.0,-23447090000000.0,-1049357327699.0
2018,13714329006369.0,14215615000000.0,37551080000000.0,-23335465000000.0,-501286080223.0
2019,13441748307935.0,14688185000000.0,37904160000000.0,-23215976000000.0,-1246436913185.0
2020,13117252915341.0,15168602000000.0,38257240000000.0,-23088641000000.0,-2051348934515.0
2021,14596717166374.0,15164504000000.0,38611290000000.0,-23446790000000.0,-567786848474.0
2022,,15628817000000.0,38964370000000.0,-23335558000000.0,
2023,,16101023000000.0,39317460000000.0,-23216437000000.0,
2024,,16582678000000.0,39670540000000.0,-23087863000000.0,
