ds,y,yhat,Lower,Upper
1970,637976080854.0,142513700000.0,128262324000.0,156765080000.0
1971,724266897066.0,498436080000.0,448592450000.0,548279700000.0
1972,873936884776.0,856166300000.0,770549700000.0,941782900000.0
1973,1134325814453.0,776873800000.0,699186350000.0,854561200000.0
1974,1285878283181.0,1161760900000.0,1045584740000.0,1277936900000.0
1975,1493975444589.0,1548527200000.0,1393674400000.0,1703380000000.0
1976,1558770195965.0,1873462800000.0,1686116500000.0,2060809100000.0
1977,1771505277323.0,1729922600000.0,1556930200000.0,1902915000000.0
1978,2170271189743.0,2034461300000.0,1831015200000.0,2237907600000.0
1979,2628241801137.0,2357736000000.0,2121962400000.0,2593509600000.0
1980,2942175001616.0,2682931000000.0,2414638000000.0,2951224200000.0
1981,2558130327484.0,2559324500000.0,2303392000000.0,2815257000000.0
1982,2475971086143.0,2881232600000.0,2593109300000.0,3169355800000.0
1983,2415660875601.0,3204815300000.0,2884333700000.0,3525296800000.0
1984,2317446505445.0,3522529000000.0,3170276000000.0,3874782200000.0
1985,2381001972113.0,3390185100000.0,3051166600000.0,3729203700000.0
1986,3343588519150.0,3714326700000.0,3342893800000.0,4085759600000.0
1987,4133772642688.0,4066411300000.0,3659770000000.0,4473052700000.0
1988,4544178702811.0,4420560000000.0,3978504000000.0,4862616000000.0
1989,4647983485688.0,4447670000000.0,4002902700000.0,4892437000000.0
1990,5906235183267.0,4979418500000.0,4481476500000.0,5477360500000.0
1991,6134002565558.0,5505510000000.0,4954959000000.0,6056061000000.0
1992,6747284436682.0,5904779400000.0,5314301000000.0,6495258000000.0
1993,6166917841620.0,5855485400000.0,5269937000000.0,6441034000000.0
1994,6519941169144.0,6221502000000.0,5599351300000.0,6843652400000.0
1995,7518720993811.0,6551020500000.0,5895918500000.0,7206122600000.0
1996,7612904730323.0,6882649400000.0,6194384000000.0,7570915000000.0
1997,6949616127344.0,6855813000000.0,6170231700000.0,7541395000000.0
1998,7148883205588.0,7294536400000.0,6565082400000.0,8023990300000.0
1999,7109560644733.0,7734763700000.0,6961287400000.0,8508240000000.0
2000,6471217709592.0,8176962000000.0,7359265500000.0,8994659000000.0
2001,6591061072511.0,8170697000000.0,7353627300000.0,8987767000000.0
2002,7161908436845.0,8609352600000.0,7748417000000.0,9470289000000.0
2003,8841164251181.0,9049303000000.0,8144372600000.0,9954234000000.0
2004,10147694477632.0,9491574000000.0,8542416300000.0,10440731000000.0
2005,10529478871284.0,9485533000000.0,8536979400000.0,10434086000000.0
2006,11180121523970.0,9924190000000.0,8931770000000.0,10916609000000.0
2007,12872139993418.0,10364451000000.0,9328006000000.0,11400896000000.0
2008,14126881442427.0,10806253000000.0,9725627000000.0,11886879000000.0
2009,12912400424054.0,10799620000000.0,9719658000000.0,11879582000000.0
2010,12647259733068.0,11238550000000.0,10114694000000.0,12362405000000.0
2011,13637263953285.0,11678803000000.0,10510922000000.0,12846683000000.0
2012,12656624498248.0,12121143000000.0,10909028000000.0,13333258000000.0
2013,13214627769312.0,12114366000000.0,10902930000000.0,13325803000000.0
2014,13510792508047.0,12552742000000.0,11297468000000.0,13808017000000.0
2015,11705356741420.0,12993272000000.0,11693945000000.0,14292599000000.0
2016,11991516461779.0,13435138000000.0,12091624000000.0,14778652000000.0
2017,12701546701485.0,13429840000000.0,12086855000000.0,14772824000000.0
2018,13714329006369.0,13868229000000.0,12481406000000.0,15255053000000.0
2019,13441748307935.0,14308159000000.0,12877343000000.0,15738976000000.0
2020,13117252915341.0,14750223000000.0,13275201000000.0,16225246000000.0
2021,14596717166374.0,14743658000000.0,13269292000000.0,16218024000000.0
2022,,15182308000000.0,13664077000000.0,16700539000000.0
2023,,15622838000000.0,14060554000000.0,17185122000000.0
2024,,16065328000000.0,14458796000000.0,17671860000000.0
